vendor_sku,upc,category,name,price,weight,Volume ,VolumeUnit ,Height ,Length ,Width ,ingredients ,NutritionFacts ,Serving ,Kosher ,Halal ,Organic ,Vegeratian ,FatFree ,SugarFree ,NoMSG ,LowCarb ,HeatSensitive ,AllNatural ,NoPreservatives ,FairTrade
31095,689951310958,Famous Chinese Green Teas ,Jade Cloud - Can ,$6.00,0.4375,,,,,,100% Organic Green Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
81515,689951815156,Famous Chinese Green Teas ,Lincang Maofeng - lb. ,$14.00,1,,,,,,100% Organic Green Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31315,689951313157,Famous Chinese Green Teas ,Mei Li - Can ,$5.50,0.4063,,,,,,Green Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31285,689951312853,Famous Chinese Green Teas ,Monkey King - Can ,$10.75,0,,,,,,Green Tea Leaves. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31065,689951310651,Famous Chinese Green Teas ,Pearl - Can ,$4.25,0.5,,,,,,100% Organic Green Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31025,689951310255,Famous Chinese Green Teas ,Tea Forest Green - Can ,$6.75,0.375,,,,,,100% Organic Green Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31010,689951310101,Flower Scented and Blended Green Teas ,Green Earl Grey - Can ,$6.25,0.5,,,,,,"Organic Green Tea Leaves, Natural Bergamot Essence. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31215,689951312150,Flower Scented and Blended Green Teas ,Jasmine - Can ,$5.50,0.468,,,,,,"100% Organic Green Tea Leaves, Organic Jasmine Flowers. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31070,689951310705,Flower Scented and Blended Green Teas ,Moroccan Mint - Can ,$5.50,0.4688,,,,,,"100% Organic Green Tea Leaves, 100% Organic Peppermint Leaves. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31020,689951310200,Hand Crafted Green Teas ,Dragonwell - Can ,$6.25,0,,,,,,100% Organic Green Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
